LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"56,552 km",Diesel,1st Owner,"₹4,79,199"
New Delhi,2019,Maruti,Alto K10 VXI,Manual,"6,999 km",Petrol,1st Owner,"₹3,86,299"
New Delhi,2019,Maruti,Alto VXI,Manual,"13,299 km",Petrol,1st Owner,"₹3,55,499"
New Delhi,2019,Maruti,Alto 800 VXI,Manual,"10,316 km",Petrol,1st Owner,"₹3,78,699"
New Delhi,2013,Hyundai,Eon D LITE PLUS,Manual,"1,06,269 km",Petrol,1st Owner,"₹1,93,699"
New Delhi,2010,Maruti,Ritz LXI,Manual,"77,787 km",Petrol,2nd Owner,"₹2,20,199"
New Delhi,2016,Maruti,Swift ZDI,Manual,"57,783 km",Diesel,2nd Owner,"₹4,52,999"
New Delhi,2014,Maruti,Swift VDI,Manual,"41,996 km",Diesel,1st Owner,"₹4,12,299"
New Delhi,2016,Maruti,Alto 800 LXI,Manual,"50,355 km",Petrol,1st Owner,"₹2,83,999"
New Delhi,2019,Maruti,Baleno DELTA 1.2 K12,Manual,"21,930 km",Petrol,1st Owner,"₹6,04,699"
New Delhi,2014,Maruti,Celerio VXI AMT,Automatic,"56,443 km",Petrol,1st Owner,"₹3,27,899"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"1,04,005 km",Diesel,1st Owner,"₹4,04,899"
New Delhi,2013,Maruti,Swift VDI,Manual,"70,981 km",Diesel,1st Owner,"₹3,51,099"
New Delhi,2014,Maruti,Swift VDI,Manual,"1,07,030 km",Diesel,1st Owner,"₹4,21,699"
New Delhi,2014,Maruti,Swift ZDI,Manual,"72,636 km",Diesel,1st Owner,"₹4,29,499"
New Delhi,2012,Maruti,Swift VDI,Manual,"31,084 km",Diesel,1st Owner,"₹3,14,499"
New Delhi,2013,Maruti,Swift VDI,Manual,"1,08,136 km",Diesel,1st Owner,"₹3,33,499"
New Delhi,2019,Maruti,Swift VXI,Manual,"31,304 km",Petrol,1st Owner,"₹5,25,499"
New Delhi,2017,Hyundai,Elite i20 SPORTZ 1.4,Manual,"73,261 km",Diesel,1st Owner,"₹5,21,099"
New Delhi,2017,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"12,308 km",Petrol,1st Owner,"₹4,70,399"
New Delhi,2018,Datsun,Redi Go 1.0 S AT,,"21,607 km",Petrol,1st Owner,"₹3,40,399"
New Delhi,2018,Tata,Tiago XZ 1.2 REVOTRON,Manual,"25,562 km",Petrol,1st Owner,"₹4,90,999"
New Delhi,2017,Tata,Tiago XT 1.2 REVOTRON,Manual,"80,573 km",Petrol,1st Owner,"₹4,59,599"
New Delhi,2019,Maruti,Alto K10 VXI,Manual,"8,574 km",Petrol,1st Owner,"₹4,24,599"
New Delhi,2009,Maruti,Wagon R LXI MINOR,Manual,"36,035 km",Petrol,1st Owner,"₹1,48,199"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"37,925 km",Diesel,1st Owner,"₹4,05,199"
New Delhi,2016,Maruti,Wagon R Stingray VXI,Manual,"34,845 km",Petrol,1st Owner,"₹3,88,199"
New Delhi,2016,Maruti,Swift VDI OPT,Manual,"50,453 km",Diesel,1st Owner,"₹4,46,799"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"64,156 km",Diesel,1st Owner,"₹4,13,399"
New Delhi,2016,Maruti,Alto K10 LXI,Manual,"32,669 km",Petrol,1st Owner,"₹3,11,199"
New Delhi,2018,Maruti,Swift VDI,Manual,"66,535 km",Diesel,1st Owner,"₹5,77,599"
New Delhi,2018,Maruti,Celerio VXI,Manual,"7,179 km",Petrol,1st Owner,"₹4,25,499"
New Delhi,2014,Honda,Brio 1.2 VX AT I VTEC,Automatic,"1,07,300 km",Petrol,1st Owner,"₹4,15,299"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"56,552 km",Diesel,1st Owner,"₹4,79,199"
New Delhi,2019,Maruti,Alto K10 VXI,Manual,"6,999 km",Petrol,1st Owner,"₹3,86,299"
New Delhi,2019,Maruti,Alto VXI,Manual,"13,299 km",Petrol,1st Owner,"₹3,55,499"
New Delhi,2019,Maruti,Alto 800 VXI,Manual,"10,316 km",Petrol,1st Owner,"₹3,78,699"
New Delhi,2013,Hyundai,Eon D LITE PLUS,Manual,"1,06,269 km",Petrol,1st Owner,"₹1,93,699"
New Delhi,2010,Maruti,Ritz LXI,Manual,"77,787 km",Petrol,2nd Owner,"₹2,20,199"
New Delhi,2016,Maruti,Swift ZDI,Manual,"57,783 km",Diesel,2nd Owner,"₹4,52,999"
New Delhi,2019,Maruti,Baleno DELTA 1.2 K12,Manual,"20,976 km",Petrol,1st Owner,"₹7,12,399"
New Delhi,2021,Renault,Kwid RXL,Manual,"1,529 km",Petrol,1st Owner,"₹4,59,599"
New Delhi,2012,Toyota,Etios Liva GD,Manual,"1,11,382 km",Diesel,1st Owner,"₹3,13,599"
New Delhi,2011,Hyundai,i10 ERA 1.1 IRDE,Manual,"55,623 km",Petrol,1st Owner,"₹1,88,799"
New Delhi,2016,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"26,951 km",Petrol,1st Owner,"₹4,15,399"
New Delhi,2020,Maruti,Alto LXI,Manual,"19,593 km",Petrol + CNG,1st Owner,"₹3,54,799"
New Delhi,2009,Maruti,Alto LXI,Manual,"1,19,227 km",Petrol,1st Owner,"₹1,26,399"
New Delhi,2018,Ford,New Figo 1.2 TREND,Manual,"23,035 km",Petrol,1st Owner,"₹4,32,899"
New Delhi,2015,Maruti,Alto 800 LXI,Manual,"28,684 km",Petrol,1st Owner,"₹2,54,699"
New Delhi,2016,Maruti,Alto K10 VXI AMT,Manual,"15,471 km",Petrol,1st Owner,"₹3,40,899"
New Delhi,2018,Maruti,Swift VXI,Manual,"24,793 km",Petrol,1st Owner,"₹5,15,899"
New Delhi,2020,Maruti,S PRESSO VXI PLUS,Manual,"17,058 km",Petrol,1st Owner,"₹4,06,299"
New Delhi,2018,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"16,558 km",Petrol,1st Owner,"₹4,83,399"
New Delhi,2018,Maruti,Alto 800 LXI,Manual,"12,083 km",Petrol,1st Owner,"₹3,11,299"
New Delhi,2016,Hyundai,New Elantra 2.0 SX (O) AT,Automatic,"49,510 km",Petrol,2nd Owner,"₹9,66,099"
New Delhi,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹22,66,999"
New Delhi,2014,Toyota,Corolla Altis D 4D J,Manual,"1,03,033 km",Diesel,1st Owner,"₹6,39,299"
New Delhi,2016,BMW,X1 SDRIVE 20D,Automatic,"26,906 km",Diesel,2nd Owner,"₹19,86,399"
New Delhi,2015,Audi,Q3 35 TDI Quattro,Automatic,"67,720 km",Diesel,3rd Owner,"₹15,60,499"
New Delhi,2012,Toyota,Fortuner 3.0 MT 4X4,Manual,"69,594 km",Diesel,1st Owner,"₹12,79,699"
New Delhi,2017,Volkswagen,Ameo TRENDLINE 1.2,Manual,"40,293 km",Petrol,2nd Owner,"₹5,17,799"
New Delhi,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,97,099"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"53,517 km",Diesel,1st Owner,"₹4,82,299"
New Delhi,2017,Maruti,Swift Dzire LDI BS IV,Manual,"51,316 km",Diesel,2nd Owner,"₹5,15,599"
New Delhi,2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"7,620 km",Petrol,2nd Owner,"₹8,25,399"
New Delhi,2018,Toyota,YARIS J MT,Manual,"52,770 km",Petrol,2nd Owner,"₹7,60,599"
New Delhi,2020,Honda,Amaze 1.2 V MT I-VTEC,Manual,"13,903 km",Petrol,1st Owner,"₹6,91,599"
New Delhi,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"66,235 km",Petrol + CNG,2nd Owner,"₹4,82,099"
New Delhi,2013,Maruti,Swift Dzire LDI BS IV,Manual,"49,944 km",Diesel,2nd Owner,"₹3,54,299"
New Delhi,2020,Honda,Amaze 1.2 SMT I VTEC,Manual,"12,514 km",Petrol,1st Owner,"₹6,46,899"
New Delhi,2017,Maruti,Dzire VDI,Manual,"1,09,291 km",Diesel,1st Owner,"₹5,53,999"
New Delhi,2014,Maruti,Ciaz VDI PLUS,Manual,"62,366 km",Diesel,1st Owner,"₹5,39,699"
New Delhi,2014,Maruti,Ciaz ZDI,Manual,"1,23,906 km",Diesel,3rd Owner,"₹3,90,599"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,18,117 km",Diesel,1st Owner,"₹3,43,199"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"54,918 km",Diesel,1st Owner,"₹4,55,499"
New Delhi,2015,Maruti,Swift Dzire VDI ABS,Manual,"72,380 km",Diesel,1st Owner,"₹4,80,099"
New Delhi,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"62,462 km",Petrol,1st Owner,"₹4,89,699"
New Delhi,2019,Maruti,Dzire VDI,Manual,"26,352 km",Diesel,1st Owner,"₹6,29,899"
New Delhi,2016,Volkswagen,Vento COMFORTLINE MT PETROL,Manual,"19,369 km",Petrol,1st Owner,"₹5,73,799"
